"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
2010000051768,2010-02-14,1200,2010-02-14,2014,"THEFT-ALL OTHER","THEFT-OTH","WEST","M","M2","DOWNTOWN COMMERCIAL"
20120000414419,2012-12-04,1816,2012-12-04,1917,"AGGRAVATED ASSAULT","ASSLT-AGG-GUN","EAST","G",NA,"MADRONA/LESCHI"
2014000032890,2014-01-30,1443,2014-01-30,1443,NA,"THEFT-BUILDING","WEST","K","K1","DOWNTOWN COMMERCIAL"
20080000465842,2008-12-13,2100,2008-12-14,1255,"CAR PROWL",NA,NA,"C","C3","CENTRAL AREA/SQUIRE PARK"
20100000278397,2010-08-09,2300,2010-08-10,1813,"CAR PROWL","THEFT-CARPROWL","NORTH","N",NA,"NORTHGATE"
20110000410239,2011-12-24,23,2011-12-24,23,"CAR PROWL","THEFT-CARPROWL","EAST",NA,"C1","CAPITOL HILL"
2010000046530,NA,2331,2010-02-09,2331,"DUI","DUI-LIQUOR","WEST","D","D1","BELLTOWN"
20090000300385,2009-08-25,1320,2009-08-25,1603,"NARCOTIC","NARC-FORGERY-PRESCRIPTION","NORTH","L","L2","NORTHGATE"
NA,2013-08-14,1634,2013-08-14,1732,NA,"THEFT-SHOPLIFT","WEST","Q","Q1","MAGNOLIA"
20120000246026,2012-07-27,1600,2012-07-28,2014,"CAR PROWL","THEFT-CARPROWL","EAST","G","G3","JUDKINS PARK/NORTH BEACON HILL"
20160000443119,2016-12-09,2225,2016-12-09,2257,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST",NA,"Q3","QUEEN ANNE"
20120000105001,2012-04-06,2351,2012-04-06,2351,NA,"ROBBERY-STREET-BODYFORCE",NA,"O","O1","SODO"
NA,2018-02-26,1200,2018-02-27,2249,"THEFT-ALL OTHER","THEFT-OTH","SOUTHWEST","F","F1","NORTH DELRIDGE"
20080000349853,2008-09-16,1630,2008-09-17,1819,"CAR PROWL","THEFT-CARPROWL","SOUTH","R","R1","NORTH BEACON HILL"
20090000410589,2009-11-22,2130,NA,1809,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTHWEST","W","W2",NA
20080000462774,2008-12-11,2220,2008-12-11,2220,"CAR PROWL","THEFT-CARPROWL","SOUTH",NA,"S2","BRIGHTON/DUNLAP"
20120000184237,2006-01-01,1200,2012-06-13,801,"FAMILY OFFENSE-NONVIOLENT","CHILD-OTHER",NA,"G","G3","MADRONA/LESCHI"
20180000167065,2018-04-26,2300,2018-05-10,1824,"SEX OFFENSE-OTHER","SEXOFF-INDECENT LIBERTIES","EAST","G","G3","JUDKINS PARK/NORTH BEACON HILL"
20130000141511,2013-04-27,2115,2013-04-27,2115,"FAMILY OFFENSE-NONVIOLENT","CHILD-ENDANGERMENT",NA,"O","O1","SODO"
20140000200924,2014-06-18,500,NA,1321,"THEFT-ALL OTHER","THEFT-MAIL","NORTH","U","U3","SANDPOINT"
20170000905484,2017-06-01,1900,2017-06-20,2254,"THEFT-ALL OTHER","THEFT-OTH","NORTH","U","U3","ROOSEVELT/RAVENNA"
20130000429320,2013-11-27,2000,2013-11-28,1246,"CAR PROWL","THEFT-CARPROWL","SOUTH","R","R3","GENESEE"
20080000414861,2008-11-04,1919,2008-11-04,2006,"ROBBERY-STREET","ROBBERY-STREET-GUN","EAST","C","C1","CAPITOL HILL"
20160000900098,2016-01-04,625,2016-01-05,1401,"CAR PROWL","THEFT-CARPROWL","NORTH","N","N3","NORTHGATE"
20090000211769,2009-06-18,2100,2009-06-19,556,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTHWEST","F","F3","HIGHLAND PARK"
20110000178556,2011-06-04,1549,2011-06-04,1637,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES",NA,"L","L1","LAKECITY"
20090000225656,2009-06-29,2030,2009-06-30,705,"CAR PROWL","THEFT-CARPROWL","WEST",NA,"M1","DOWNTOWN COMMERCIAL"
NA,2017-09-03,2200,2017-09-06,907,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","NORTH","U","U1","ROOSEVELT/RAVENNA"
20080000316928,2008-08-22,NA,2008-08-25,1020,"CAR PROWL","THEFT-CARPROWL","SOUTH","O","O1","SODO"
