"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
20090000243802,2009-07-12,NA,2009-07-13,1455,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","L","L1","NORTHGATE"
2014000036401,2014-02-02,1905,2014-02-02,1905,"AGGRAVATED ASSAULT","ASSLT-AGG-BODYFORCE","SOUTH","O","O1","SODO"
2008000079862,2008-02-27,1905,2008-02-27,1940,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","NORTH","L","L3","LAKECITY"
2011000068610,NA,1300,2011-02-28,1740,"THEFT-BUILDING","THEFT-BUILDING","EAST","E","E2","CAPITOL HILL"
20160000326590,2016-09-08,1130,2016-09-09,134,NA,"BURGLARY-NOFORCE-RES","SOUTHWEST","F","F3","HIGHLAND PARK"
20090000415552,2009-12-01,142,2009-12-01,142,"BURGLARY-COMMERCIAL","BURGLARY-NOFORCE-NONRES","NORTH","B","B3","FREMONT"
20130000458854,NA,2255,2013-12-24,2255,"CAR PROWL","THEFT-CARPROWL",NA,"B","B3","WALLINGFORD"
2013000093633,2013-03-19,1500,2013-03-20,427,"MOTOR VEHICLE THEFT",NA,"SOUTH","S","S2","BRIGHTON/DUNLAP"
20170000909760,2017-10-23,0,2017-10-24,1945,"CAR PROWL","THEFT-CARPROWL","NORTH","B","B2","BALLARD SOUTH"
20140000119210,2014-03-24,1930,2014-04-18,1953,"CAR PROWL","THEFT-LICENSE PLATE","NORTH","B","B1","BALLARD SOUTH"
20140000422241,2014-12-22,1301,2014-12-22,1301,"ROBBERY-RESIDENTIAL","ROBBERY-RESIDENCE-BODYFORCE","NORTH","B","B1","BALLARD SOUTH"
20090000446278,2009-12-30,1310,2009-12-30,1338,"THEFT-ALL OTHER","THEFT-OTH","NORTH","U","U1",NA
20120000370410,2012-10-28,2230,NA,NA,"CAR PROWL","THEFT-CARPROWL","EAST","E","E2","CAPITOL HILL"
20150000429057,2015-12-11,24,2015-12-11,24,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","L","L2","NORTHGATE"
2009000047000,2009-02-07,1900,2009-02-07,1900,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","SOUTH","O","O1","SODO"
20130000417212,2013-11-18,312,2013-11-18,315,"MOTOR VEHICLE THEFT",NA,"SOUTHWEST","F","F3","SOUTH PARK"
NA,2013-04-07,NA,2013-04-08,609,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","B","B3","WALLINGFORD"
2013000071614,2013-03-01,2330,2013-03-02,NA,"THEFT-ALL OTHER","THEFT-OTH","SOUTH","S","S1","NEW HOLLY"
20080000399635,2008-10-23,2200,2008-10-24,1216,"CAR PROWL","THEFT-CARPROWL",NA,"B","B2","FREMONT"
